product_id,product_name,aisle_id,department_id,ndbno
1,Chocolate Sandwich Cookies,61,19,45310337 
2,All-Seasons Salt,104,13,45139481 
3,Robust Golden Unsweetened Oolong Tea,94,7,45238670 
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1,45344519 
5,Green Chile Anytime Sauce,5,13,45077864 
7,Pure Coconut Water With Orange,98,7,45268541 
8,Cut Russet Potatoes Steam N' Mash,116,1,45356367 
9,Light Strawberry Blueberry Yogurt,120,16,45221914 
10,Sparkling Orange Juice & Prickly Pear Beverage,115,7,45374777 
11,Peach Mango Juice,31,7,45226988 
12,Chocolate Fudge Layer Cake,119,1,45307434 
16,Mint Chocolate Flavored Syrup,103,19,45308559 
17,Rendered Duck Fat,35,12,45350064 
18,Pizza for One Suprema  Frozen Pizza,79,1,45122828 
19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9,45036754 
20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7,45170829 
23,Organic Turkey Burgers,49,12,45184204 
25,Salted Caramel Lean Protein & Fiber Bar,3,19,45201095 
28,Wheat Chex Cereal,121,14,45310610 
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15,45023766 
30,"Three Cheese Ziti, Marinara with Meatballs",38,1,45344532 
31,White Pearl Onions,123,4,45363347 
32,Nacho Cheese White Bean Chips,107,19,45019047 
33,Organic Spaghetti Style Pasta,131,9,45341135 
34,Peanut Butter Cereal,121,14,45312263 
35,Italian Herb Porcini Mushrooms Chicken Sausage,106,12,45105475 
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1,45140384 
37,Noodle Soup Mix With Chicken Broth,69,15,45316606 
38,Ultra Antibacterial Dish Liquid,100,21,42063 
39,Daily Tangerine Citrus Flavored Beverage,64,7,14640 
40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,106,12,45194280 
41,Organic Sourdough Einkorn Crackers Rosemary,78,19,45291918 
43,Organic Clementines,123,4,09433 
44,Sparkling Raspberry Seltzer,115,7,45163044 
45,European Cucumber,83,4,11206 
46,Raisin Cinnamon Bagels 5 count,58,1,18005 
47,Onion Flavor Organic Roasted Seaweed Snack,66,6,45169167 
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20,45041356 
50,Pumpkin Muffin Mix,105,13,45192863 
52,Mirabelle Brut Rose,134,5,45291557 
53,Whole Leaf Pure Aloe With Lemon Juice,98,7,45186087 
56,Healthy Pop Butter Popcorn,23,19,45237752 
58,Whole Wheat Tortillas,128,3,45352594 
59,Medium Taqueria Style Chipotle Salsa,50,19,45278935 
60,Cheesy Creations Roasted Garlic Parmesan Sauce,9,9,45307363 
61,Ramen Noodles Soup Chicken Mushroom Flavor,69,15,06983 
62,Premium Deli Oven Roasted Turkey Breast,96,20,45184725 
63,Banana & Sweet Potato Organic Teething Wafers,92,18,45287386 
64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,92,18,03079 
