NDB_No,USDA Name,Energy (Kcal),Total Sugar(g),Total Lipid (g),Water (g),Protein(g),Sodium(mg),Fiber(g),Calcium(mg),Iron (mg)
45310337,"SMILE CHOCOLATE SANDWICH COOKIES, UPC: 044000029517",471.0,41.18,20.59,,2.94,397.0,2.9,0.0,4.24
45139481,"SIMPLY ORGANIC, ALL SEASONS SALT, UPC: 089836185112",0.0,,0.0,,0.0,23636.0,,,
45238670,"ORGANIC UNSWEETENED ROBUST GOLDEN OOLONG TEA, UPC: 835143000033",0.0,0.0,0.0,,0.0,11.0,,,
45344519,"MINI RIGATONI WITH VODKA CREAM SAUCE, UPC: 025800020249",125.0,2.35,1.96,,4.71,204.0,1.6,59.0,1.06
45077864,"GREEN CHILE ENCHILADA SAUCE, UPC: 041220031122",42.0,1.67,2.5,,0.0,567.0,0.0,0.0,0.0
45268541,"100% PURE COCONUT WATER, UPC: 758940583038",21.0,4.58,0.0,,0.0,25.0,0.0,8.0,0.0
45356367,"REAL RUSSET MASHED POTATOES, UPC: 075450016178",368.0,0.0,0.0,,10.53,79.0,5.3,0.0,0.0
45221914,"STRAWBERRY YOGURT WITH BLUEBERRIES, UPC: 826766140350",115.0,15.99,0.56,,3.35,82.0,1.1,223.0,0.4
45374777,"SPARKLING PRICKLY PEAR & ORANGE BEVERAGE, UPC: 041508934695",39.0,9.09,0.0,,0.0,0.0,,,
45226988,"ORANGE PEACH MANGO JUICE, UPC: 492840400674",50.0,9.58,0.0,,0.42,4.0,0.0,0.0,0.0
45307434,"PEPPERIDGE FARM, CHOCOLATE FUDGE STRIPE LAYER CAKE, UPC: 051000076298",362.0,31.88,18.84,,2.9,203.0,1.4,0.0,1.57
45308559,"ORGANIC MINT CHOCOLATE FLAVORED SYRUP, UPC: 036192120752",300.0,60.0,0.0,,2.5,25.0,2.5,,2.7
45350064,"CLASSIC (RENDERED) DUCK FAT, UPC: 712102014006",867.0,0.0,93.33,,0.0,400.0,0.0,0.0,0.0
45122828,"CELESTE PIZZA FOR ONE, SAUSAGE & PEPPERONI PIZZA, UPC: 019600046202",244.0,1.92,12.18,,6.41,513.0,1.3,96.0,1.73
45036754,"THREE CHEESE & MUSHROOM QUINOA, UPC: 859331002012",360.0,2.0,5.0,,12.0,1100.0,6.0,40.0,2.16
45170829,"OKF, ALOE VERA KING, NATURAL ALOE VERA DRINK, POMEGRANATE, UPC: 884394000378",38.0,7.92,0.0,,0.0,3.0,0.0,,
45184204,"ORGANIC TURKEY BURGERS, UPC: 089991602424",152.0,,8.04,,19.64,58.0,,,0.96
45201095,"LEAN PROTEIN & FIBER BARS, UPC: 753656711560",375.0,12.5,11.25,,25.0,550.0,12.5,100.0,2.7
45310610,"GMILLS WHEAT CHEX OVEN TSTD WHEAT CEREAL, UNPREPARED, GTIN: 00016000275492",340.0,10.64,2.13,,10.64,574.0,12.8,213.0,30.64
45023766,"SHOPRITE, GOLDEN CORN, SWEET WHOLE KERNEL, NO SALT ADDED, UPC: 041190020737",64.0,3.2,0.8,,1.6,12.0,1.6,0.0,0.0
45344532,"THREE CHEESE ZITI MARINARA, UPC: 025800023769",118.0,1.96,3.14,,4.71,231.0,1.2,78.0,1.06
