NDB_No,USDA Name,Energy (Kcal),Total Sugar(g),Total Lipid (g),Water (g),Protein(g),Sodium(mg),Fiber(g),Calcium(mg),Iron (mg)
45310337,"SMILE CHOCOLATE SANDWICH COOKIES, UPC: 044000029517",160.0,14.0,7.0,,1.0,135.0,1.0,0.0,1.44
45139481,"SIMPLY ORGANIC, ALL SEASONS SALT, UPC: 089836185112",0.0,,0.0,,0.0,260.0,,,
45238670,"ORGANIC UNSWEETENED ROBUST GOLDEN OOLONG TEA, UPC: 835143000033",0.0,0.0,0.0,,0.0,55.0,,,
45344519,"MINI RIGATONI WITH VODKA CREAM SAUCE, UPC: 025800020249",319.0,5.99,5.0,,12.01,520.0,4.1,150.0,2.7
45077864,"GREEN CHILE ENCHILADA SAUCE, UPC: 041220031122",25.0,1.0,1.5,,0.0,340.0,0.0,0.0,0.0
45268541,"100% PURE COCONUT WATER, UPC: 758940583038",50.0,10.99,0.0,,0.0,60.0,0.0,19.0,0.0
45356367,"REAL RUSSET MASHED POTATOES, UPC: 075450016178",70.0,0.0,0.0,,2.0,15.0,1.0,0.0,0.0
45221914,"STRAWBERRY YOGURT WITH BLUEBERRIES, UPC: 826766140350",309.0,43.01,1.51,,9.01,221.0,3.0,600.0,1.08
45374777,"SPARKLING PRICKLY PEAR & ORANGE BEVERAGE, UPC: 041508934695",129.0,30.0,0.0,,0.0,0.0,,,
45226988,"ORANGE PEACH MANGO JUICE, UPC: 492840400674",120.0,22.99,0.0,,1.01,10.0,0.0,0.0,0.0
45307434,"PEPPERIDGE FARM, CHOCOLATE FUDGE STRIPE LAYER CAKE, UPC: 051000076298",250.0,22.0,13.0,,2.0,140.0,1.0,0.0,1.08
45308559,"ORGANIC MINT CHOCOLATE FLAVORED SYRUP, UPC: 036192120752",120.0,24.0,0.0,,1.0,10.0,1.0,,1.08
45350064,"CLASSIC (RENDERED) DUCK FAT, UPC: 712102014006",130.0,0.0,14.0,,0.0,60.0,0.0,0.0,0.0
45122828,"CELESTE PIZZA FOR ONE, SAUSAGE & PEPPERONI PIZZA, UPC: 019600046202",381.0,3.0,19.0,,10.0,800.0,2.0,150.0,2.7
45036754,"THREE CHEESE & MUSHROOM QUINOA, UPC: 859331002012",180.0,1.0,2.5,,6.0,550.0,3.0,20.0,1.08
45170829,"OKF, ALOE VERA KING, NATURAL ALOE VERA DRINK, POMEGRANATE, UPC: 884394000378",91.0,19.01,0.0,,0.0,7.0,0.0,,
45184204,"ORGANIC TURKEY BURGERS, UPC: 089991602424",170.0,,9.0,,22.0,65.0,,,1.08
45201095,"LEAN PROTEIN & FIBER BARS, UPC: 753656711560",150.0,5.0,4.5,,10.0,220.0,5.0,40.0,1.08
45310610,"GMILLS WHEAT CHEX OVEN TSTD WHEAT CEREAL, UNPREPARED, GTIN: 00016000275492",160.0,5.0,1.0,,5.0,270.0,6.0,100.0,14.4
45023766,"SHOPRITE, GOLDEN CORN, SWEET WHOLE KERNEL, NO SALT ADDED, UPC: 041190020737",80.0,4.0,1.0,,2.0,15.0,2.0,0.0,0.0
45344532,"THREE CHEESE ZITI MARINARA, UPC: 025800023769",301.0,5.0,8.01,,12.01,589.0,3.1,199.0,2.7
